[1.342546101305659, -0.25044085577333053]
[1.327098249258154, -0.72502851514420019]
[1.1800134482501869, -1.3162406410259182]
[0.74992041217294236, -1.8518191563236008]
[0.038898314111265098, -1.8257409315213842]
[-0.57674778012107575, -1.5164304479378248]
[-1.0683654330432295, -1.2079566887128943]
[-1.4828514026000728, -0.97728518325747793]
[-1.7871717633824606, -0.82956031585571122]
[-1.8297797991181166, -0.69965312212930275]
[-1.6969374370358592, -0.57063746169490071]
[-1.5314834707943237, -0.51029011438098471]
[-1.3580032051779749, -0.53684218628691838]
[-1.1774489901467657, -0.64567793662710249]
[-0.99130746519269641, -0.8282340330349709]
[-0.80456453753836032, -1.0871980338051006]
[-0.61930149337412344, -1.4349394070851482]
[-0.44409092464738764, -1.8359032336462942]
[-0.25551481045230745, -1.9174801340941108]
[0.075644542111884094, -1.6047247998011309]
[0.44601638469822369, -1.32449919495087]
[0.82866350971101554, -1.1151117963182902]
[1.2192149370191174, -0.94282424821662114]
[1.5908559791701944, -0.78974836922878044]
[1.878085245215785, -0.6349763618758314]
[1.8487660430118609, -0.44632465403638921]
[1.5491472754023028, -0.34968073936951444]
[1.1874315383418934, -0.37274896720986439]
[0.84214476559651674, -0.48225532288849704]
[0.54432094373810713, -0.66191018936641577]
[0.23752047017536349, -0.93353471539380628]
[-0.18331793718296574, -1.2642875894791628]
[-0.71755875731959129, -1.5607374719044071]
[-1.2188368451100464, -1.5776011203475164]
[-1.195560506499026, -1.0542990402058461]
[-0.9176987519550257, -0.56427403138093113]
[-0.54643826271923945, -0.21258442801946564]
[-0.1247314487409536, -0.022100380779245699]
[0.31621425032901129, -0.0093177430699609154]
[0.74192972229069132, -0.17487275806172331]
[1.117234263806953, -0.5068867058383677]
[1.3866831255205381, -0.98574565670751257]
[1.341718077057279, -1.4825546087362973]
[0.78550643965377398, -1.5059854098805721]
[0.20571483597972129, -1.318058020262552]
[-0.28111522489260787, -1.1032864745447124]
[-0.70241146728314585, -0.95276491324486379]
[-1.1295253467980206, -0.89856039814586319]
[-1.538215989381722, -0.942449418379673]
[-1.7110332683957981, -1.0271876661423829]
[-1.4679575260392665, -0.94538126287274626]
[-1.1399396560145152, -0.83945645659415846]
[-0.8029682647170604, -0.77634712197554823]
[-0.479127749744374, -0.74570453496194944]
[-0.19331063363786527, -0.74829392730654476]
[0.073037330002751366, -0.82813198037725622]
[0.38398601427477907, -1.020201371399333]
[0.74160271172447567, -1.3212953499952766]
[1.0151440479779221, -1.6710501811206213]
[0.88050537754732749, -1.5692690617891618]
[0.63971199572869675, -1.1793752706157414]
[0.41385194781300971, -0.83061877233636128]
[0.21129504042695013, -0.54891669880563798]
[0.062522943682598253, -0.32518287597512963]
[-0.010505807283991753, -0.17081688034083062]
[-0.041841228701411493, -0.10979171912258662]
[-0.10910359674900727, -0.13034686957961772]
[-0.2802530074558055, -0.17218688912713498]
[-0.56826780863544146, -0.18044372424995925]
[-0.93382164613462471, -0.17960964871319995]
[-1.3239991767848509, -0.24386927812904435]
[-1.6779810311061096, -0.4276236011668676]
[-1.8507482025195428, -0.73727029851123493]
[-1.578142755779218, -0.99332726844710506]
[-1.1156951127684467, -1.147600428408281]
[-0.63280191867482061, -1.2783068179262731]
[-0.17120175191890896, -1.4297967444312758]
[0.26818172326254586, -1.6470307646105975]
[0.63405807142100701, -1.8707427827867034]
[0.77018513798460397, -1.673488663234548]
[0.85640647871776188, -1.2703264899627889]
[0.94453346571187724, -0.93665126080605376]
[1.0327322029814816, -0.69814951286654392]
[1.1200412551052725, -0.54835583871365978]
[1.2049311472590198, -0.48529477872606663]
[1.2876686058891251, -0.51348386418480807]
[1.3697002722886733, -0.63784861051188813]
[1.450526786935155, -0.8576384395224852]
[1.5158911301670615, -1.147545804400971]
[1.4419409534009515, -1.366442163949789]
[1.0513808009401024, -1.430658623942233]
[0.5312315810099334, -1.5224506752455884]
[-0.063814503145416368, -1.6555341565996784]
[-0.7400104508849229, -1.729305310201303]
[-1.3261495906697862, -1.4688194548046583]
[-1.4660957474248475, -0.87138555820794916]
[-1.3648952936240253, -0.34670355075027748]
[-1.1632910517664887, 0.026766296479866725]
[-0.92188004983672489, 0.24850692084544301]
[-0.6698432834568594, 0.33333546731938057]
[-0.41902239003609398, 0.29565771123005768]
[-0.17111651517683424, 0.14990849680936769]
[0.084990814134422221, -0.083980901814779463]
[0.36735470368545475, -0.39278703829524625]
[0.66431008067890018, -0.78986833850902294]
[0.91806548038548275, -1.2859866003982983]
[0.94926993924677316, -1.7580519785409485]
[0.54864699688593355, -1.5600445025198693]
[0.16543611453109275, -1.1309230698498933]
